instruction	option_a	option_b	option_c	option_d	answer	id
Qui, parmi les personnes suivantes, est le plus susceptible de rester à la maison seul(e), en 2019?	Un homme ou une femme asiatique	Un homme hispanique	Une femme afro-américaine	Un homme ou une femme blanche	C	human_aging/dev/0
Quelle des conditions suivantes ne montre pas une héritabilité multifactorielle?	Sténose du pylore	Schizophrénie	Spina bifida (défauts du tube neural)	Syndrome de Marfan	D	medical_genetics/dev/3
Lequel des éléments suivants n'est pas une façon de former de l'ADN recombinant?	Traduction	Conjugaison	Transduction spécialisée	Transformation	A	high_school_biology/dev/0
Quelle caractéristique n'est pas une fonctionnalité clé du modèle de gestion 'systèmes ouverts'?	Morale	Innovation	Ressource de croissance	Adaptation	A	management/dev/3
Quel est le classement des hydrures des éléments du groupe 14 suivant leur stabilité thermique, du moins stable au plus stable?	PbH4 < SnH4 < GeH4 < SiH4 < CH4	PbH4 < SnH4 < CH4 < GeH4 < SiH4	CH4 < SiH4 < GeH4 < SnH4 < PbH4	CH4 < PbH4 < GeH4 < SnH4 < SiH4	A	college_chemistry/dev/4
Lequel des éléments suivants est censé être une molécule polaire?	PCl4F	BF3	CO2	Si(CH3)4	A	high_school_chemistry/dev/1
Quelle est la cavité corporelle qui contient l'hypophyse parmi les suivantes ?	Abdominale	Crânienne	Pleurale	Spinale	B	anatomy/dev/4
Selon le modèle de pression-flux de mouvement des contenus du phloème, le déplacement des photosynthétiques de la source vers le puits est entraîné par	une pompe de flux de pression dépendante de l'ATP	un gradient de potentiel de pression d'eau	la transpiration	la diffusion apoplastique	B	college_biology/dev/3
Quelle est la meilleure déclaration d'un argument présenté par James Madison dans Le Fédéraliste numéro 10?	Des politiciens honnêtes peuvent empêcher le développement des factions.	Les factions sont plus susceptibles de se produire dans les grandes républiques que dans les petites.	Les effets négatifs du factionnalisme peuvent être réduits par un gouvernement républicain.	Les élections libres sont la meilleure défense du peuple contre le factionnalisme.	C	high_school_government_and_politics/dev/4
Le muon se désintègre avec une durée de vie caractéristique d'environ 10^-6 seconde en un électron, un neutrino muonique et un antineutrino électronique . Le muon est interdit de se désintégrer en un électron et un seul neutrino par la loi de conservation	charge	masse	énergie et moment	nombre leptonique	D	college_physics/dev/4
Dans un verrou SR construit à partir de portes NOR, quelle condition n'est pas autorisée	S=0, R=0	S=0, R=1	S=1, R=0	S=1, R=1	D	electrical_engineering/dev/0
Dans une machine à courant continu à enroulement pôle pair, la résistance d'un conducteur est de 2Ω et le nombre total de conducteurs est de 100. Trouvez la résistance totale.	200Ω	100Ω	50Ω	10Ω	C	electrical_engineering/dev/1
Déclaration 1 | Chaque élément d'un groupe génère un sous-groupe cyclique du groupe. Déclaration 2 | Le groupe symétrique S_10 a 10 éléments.	Vrai, Vrai	Faux, Faux	Vrai, Faux	Faux, Vrai	C	abstract_algebra/dev/2
Cinq mille dollars, composés annuellement avec un taux d'intérêt de $x\%$, prendront six ans pour doubler. Avec le même taux d'intérêt, en combien d'années $\$300$ grandira-t-il jusqu'à $\$9600$?	12	1	30	5	C	high_school_mathematics/dev/1
Le trouble le plus courant parmi les hommes qui cherchent une thérapie sexuelle est:	éjaculation précoce	éjaculation inhibée	trouble de l'érection	trouble éjaculatoire	C	human_sexuality/dev/4
Un homme de 36 ans se présente au cabinet avec une douleur au dos depuis 3 semaines. Il nie tout traumatisme récent mais dit qu'il monte et descend de sa camionnette plusieurs fois par jour pour son travail. L'examen du patient en position ventrale révèle un sillon sacral profond à gauche, un angle postéro-inférieur latéral à droite et une jonction lombosacrée qui rebondit librement à la compression. Le diagnostic le plus probable est	torsion sacrale gauche sur gauche	torsion sacrale gauche sur droite	flexion sacrale unilatérale droite	torsion sacrale droite sur droite	D	professional_medicine/dev/1
"Dans quelle dynastie le ""Mandat du ciel"" a-t-il été développé pour légitimer les nouveaux dirigeants?"	Shang	Zhou	Han	Xia	B	world_religions/dev/2
Les couleurs dans une bulle de savon résultent de la lumière	convertie en une fréquence différente	déflexion	interférence	polarisation	C	conceptual_physics/dev/2
Un ovule fécondé est également connu sous le nom de	un zygote.	un embryon.	une viabilité.	un blastocyste.	A	moral_disputes/dev/1
À quelle étape du processus de planification une analyse de la situation serait-elle effectuée?	Définition du programme	Planification du programme	Prise de décision et mise en œuvre des idées	Évaluation du programme	A	public_relations/dev/3
Quelle est la différence entre un cathéter masculin et un cathéter féminin?	Les cathéters masculins et féminins ont des couleurs différentes.	Les cathéters masculins sont plus longs que les cathéters féminins.	Les cathéters masculins sont plus gros que les cathéters féminins.	Les cathéters féminins sont plus longs que les cathéters masculins.	B	clinical_knowledge/dev/1
_______ est la tentative directe de gérer formellement ou informellement les problèmes ou les questions éthiques, grâce à des politiques spécifiques, des pratiques et des programmes.	Responsabilité sociale de l'entreprise	Gestion de l'éthique des affaires	Durabilité	Gestion de l'environnement	B	business_ethics/dev/1
"Quelle est la déclaration correcte sur l'iode, selon les informations de l'année 2020?
"	50% des adultes consomment de l'iode à des niveaux inférieurs à l'apport nutritionnel recommandé	Les produits laitiers sont une faible source d'iode	Le taux d'iode du lait biologique est généralement inférieur à celui du lait non biologique	Les valeurs de référence alimentaires du Royaume-Uni recommandent une augmentation de l'apport en iode pendant la grossesse	C	nutrition/dev/3
Un homme de 44 ans se présente au bureau en raison d'une douleur à la gorge, d'une toux non productive, d'un nez qui coule et d'un mal de tête frontal depuis 3 jours. Il dit que le mal de tête est pire le matin et que l'ibuprofène procure un certain soulagement. Il n'a pas eu de problème de respiration. Les antécédents médicaux ne présentent aucune particularité. Il ne prend aucun médicament autre que l'ibuprofène pour la douleur. Les paramètres vitaux sont de 37,4 °C (99,4 °F) de température, 88 battements/min de pouls, 18 respirations/min de fréquence respiratoire et 120/84 mm Hg de tension artérielle. L'examen des narines montre des muqueuses érythémateuses. L'examen de la gorge montre une inflammation et une hyperplasie lymphoïde folliculaire dans la région de l'oropharynx postérieur. Il n'y a pas d'adénopathie cervicale palpable. Les poumons sont clairs à l'auscultation. Quelle est la cause la plus probable des symptômes de ce patient ?	Rhinite allergique	Virus d'Epstein-Barr	Pneumonie à Mycoplasma	Rhonovirus	D	professional_medicine/dev/3
Un enseignant de sciences au lycée remplit une bouteille d'un litre d'azote pur et ferme le couvercle. La pression est de 1,70 atm et la température ambiante est de 25 °C. Quelles sont les deux variables qui augmenteront toutes deux la pression du système, si toutes les autres variables sont maintenues constantes ?	Augmenter la température, augmenter les moles de gaz	Augmenter la température, augmenter le volume	Diminuer le volume, diminuer la température	Diminuer les moles de gaz, augmenter le volume	A	college_medicine/dev/3
Vous examinez des documents pour la Conférence de machine learning la plus sophistiquée du monde et vous voyez des soumissions avec les affirmations suivantes. Lesquelles considéreriez-vous acceptables ?	Ma méthode atteint une erreur d'entraînement inférieure à toutes les méthodes précédentes !	Ma méthode atteint une erreur de test inférieure à toutes les méthodes précédentes ! (Note en bas de page : lorsque le paramètre de régularisation λ est choisi de manière à minimiser l'erreur de test.)	Ma méthode atteint une erreur de test inférieure à toutes les méthodes précédentes ! (Note en bas de page : lorsque le paramètre de régularisation λ est choisi de manière à minimiser l'erreur de cross-validation.)	Ma méthode atteint une erreur de cross-validation inférieure à toutes les méthodes précédentes ! (Note en bas de page : lorsque le paramètre de régularisation λ est choisi de manière à minimiser l'erreur de cross-validation.)	C	machine_learning/dev/2
Un télescope à réfraction se compose de deux lentilles convergentes séparées de 100 cm. La lentille de l'oculaire a une distance focale de 20 cm. Le grossissement angulaire du télescope est	4	5	6	20	A	college_physics/dev/3
Selon la loi sur l'amélioration de l'éducation des personnes handicapées, que doit faire une agence éducative avant de changer la situation éducative d'un étudiant handicapé ?	Donner à l'enfant une période d'essai dans le nouvel environnement	Notifier les parents par écrit	Obtenir l'approbation du conseil scolaire	Obtenir le consentement des parents	B	high_school_psychology/dev/3
La courbe de Phillips à court terme indique une	relation directe entre le chômage et l'inflation	relation directe entre le prix et la quantité demandée	relation inverse entre le prix et la quantité demandée	relation inverse entre le chômage et l'inflation	D	high_school_macroeconomics/dev/1
SHA-1 a une empreinte de message de	160 bits	512 bits	628 bits	820 bits	A	computer_security/dev/0
Que produit la photosynthèse ?	hydrogène	nylon	oxygène	lumière	C	miscellaneous/dev/3
Une mutation dans une enzyme bactérienne a changé un acide aminé polar en un acide aminé non polar. Cet acide aminé était situé sur un site éloigné du site actif de l'enzyme. Comment cette mutation pourrait-elle modifier la spécificité du substrat de l'enzyme?	En changeant le pH optimal de l'enzyme	En changeant l'emplacement de l'enzyme dans la cellule	En changeant la forme de la protéine	Un changement d'acide aminé loin du site actif ne peut pas modifier la spécificité du substrat de l'enzyme.	C	high_school_biology/dev/1
"Quelle est la proposition correcte suivante (selon les connaissances en 2020)?
"	Les consommateurs atteints de phénylcétonurie doivent éviter la consommation de l'édulcorant aspartame	Les consommateurs atteints de phénylcétonurie doivent éviter la consommation de l'édulcorant saccharine	Les consommateurs atteints de phénylcétonurie doivent éviter la consommation de l'édulcorant sucralose	Les consommateurs atteints de phénylcétonurie doivent éviter la consommation de l'édulcorant acesulfame K	A	nutrition/dev/1
"Quel est le résultat de ""abc"" [:: - 1] en Python 3?"	Erreur	abc	cba	c	C	high_school_computer_science/dev/2
Dans la construction d'une équation de régression multiple à des fins de prédiction, la combinaison optimale de mesures est celle dans laquelle les prédicteurs	sont non corrélés les uns avec les autres, mais sont modérément corrélés avec le critère	ont des faibles corrélations les uns avec les autres et de faibles corrélations avec le critère	sont fortement intercorrélés les uns avec les autres et modérément corrélés avec le critère	ont de faibles corrélations avec le critère mais sont modérément corrélés les uns avec les autres	A	professional_psychology/dev/4
Selon Metz, qu'est-ce qui ne va pas avec les arguments conséquentialistes contre la peine capitale basés sur les valeurs africaines ?	On ne sait pas encore si la peine capitale dissuade ou non les méfaits envers la communauté.	On ne sait pas encore si la peine capitale dissuade ou non les méfaits envers des individus.	Le conséquentialisme n'est pas soutenu par les valeurs africaines.	Même si le conséquentialisme est soutenu par les valeurs africaines, aucun argument conséquentialiste formulé en termes de valeurs africaines n'a été offert.	A	moral_disputes/dev/0
Quelle est l'origine embryonnaire de l'os hyoïde?	Le premier arc pharyngien	Les premier et deuxième arcs pharyngiens	Le deuxième arc pharyngien	Les deuxième et troisième arcs pharyngiens	D	anatomy/dev/0
Un effet secondaire attendu de la supplémentation en créatine est :	faiblesse musculaire.	gain de masse corporelle.	crampes musculaires.	perte d'électrolytes.	B	college_medicine/dev/4
Déclaration 1| Toute fonction d'un ensemble fini dans lui-même doit être une bijection. Déclaration 2| Tout sous-groupe d'un groupe abélien est abélien.	Vrai, Vrai	Faux, Faux	Vrai, Faux	Faux, Vrai	A	abstract_algebra/dev/3
Soit V l'ensemble de tous les polynômes réels p(x). Soient les transformations T, S définies sur V par T:p(x) -> xp(x) et S:p(x) -> p'(x) = d/dx p(x), et interpréter (ST)(p(x)) comme S(T(p(x))). Laquelle des affirmations suivantes est vraie?	ST = 0	ST = T	ST = TS	ST - TS est l'application identité de V sur lui-même.	D	college_mathematics/dev/0
Selon le modèle de consultation de cas centré sur la personne consultée de Caplan, le consultant s'intéresse principalement à	identifier les causes et solutions des problèmes présentés par le client	identifier et éliminer les causes des difficultés du consultant à gérer un problème	établir une hiérarchie de l'autorité pour permettre une prise de décision efficace	présenter un seul cours d'action clair et non ambigu pour que le consultant puisse surmonter les déficits de compétences	B	high_school_psychology/dev/1
Pence compare six différents cas de reproduction, de la gémellité naturelle à la SCNT. Quelle conclusion tire-t-il de cette comparaison?	La SCNT n'est pas un type de reproduction différent car il n'y a pas de différences moralement pertinentes entre elle et d'autres moyens de reproduction permis.	Parce qu'il y a un faible risque de préjudice pour la gémellité naturelle, il y aura un faible risque de préjudice pour la SCNT.	Les deux A et B.	Ni A ni B.	A	moral_disputes/dev/3
Le 1er janvier, année 1, Alpha Co. a signé un contrat de maintenance annuel avec un fournisseur de logiciels pour 15 000 $ et la période de maintenance commence le 1er mars, année 2. Alpha a également subi 5 000 $ de coûts le 1er janvier, année 1, liés aux demandes de modification de logiciels qui augmenteront la fonctionnalité du logiciel. Alpha amortit ses actifs informatiques et logiciels sur cinq ans en utilisant la méthode de la ligne droite. Quel montant est la dépense totale qu'Alpha devrait reconnaître liée au contrat de maintenance et aux modifications de logiciel pour l'exercice clos le 31 décembre, année 1?	5 000 $	13 500 $	16 000 $	20 000 $	B	professional_accounting/dev/3
"Le passage de la ""religion civile"" à la ""religion commune"" signifie que :"	l'augmentation de la bureaucratie de l'État a rendu la religion seulement une partie marginale de nos vies	malgré l'affaiblissement de l'autorité traditionnelle, nos vies quotidiennes et notre 'bon sens' restent façonnés par des croyances et des valeurs religieuses	la participation religieuse dans le culte collectif a pu diminuer, mais les gens pratiquent toujours leur foi en privé	les gens sont beaucoup plus susceptibles de discuter de leurs croyances religieuses dans des endroits publics et informels	B	sociology/dev/2
Quel est le cas suivant qui a établi le précédent selon lequel un accusé doit être informé de son droit de garder le silence, de son droit à un avocat, et de sa protection contre l'auto-incrimination ?	Weeks v. États-Unis	Betts v. Brady	Mapp v. Ohio	Miranda v. Arizona	D	high_school_government_and_politics/dev/2
Supposons que f(1 + x) = f(x) pour tous les x réels. Si f est un polynôme et f(5) = 11, alors f(15/2)	-11	0	11	33/2	C	college_mathematics/dev/3
Selon d'Holbach, les gens agissent toujours selon _____.	des choix libres	les diktats de l'âme	les lois naturelles nécessaires	une volonté indéterminée	C	philosophy/dev/2
___________ est une conséquence naturelle de la combinaison de variables démographiques et géographiques.	Géodémographie	Différenciation de produit.	Matrice ANSOFF.	Gestion de marque.	A	marketing/dev/0
Quelle est la déclaration correcte sur la corrélation?	Si la pente de la droite de régression est exactement 1, alors la corrélation est exactement 1.	Si la corrélation est de 0, alors la pente de la droite de régression est indéfinie.	Le fait de permuter les variables x et y change le signe de la corrélation.	La corrélation r est égale à la pente de la droite de régression lorsque les scores z de la variable y sont tracés contre les scores z de la variable x.	D	high_school_statistics/dev/0
Quand « le consentement » peut-il servir de circonstance empêchant la caractérisation de l'illicéité d'une conduite de l'État ?	Le consentement peut servir de circonstance empêchant la caractérisation de l'illicéité chaque fois qu'il est donné.	Le consentement ne peut jamais servir de circonstance empêchant la caractérisation de l'illicéité.	Le consentement peut servir de circonstance empêchant la caractérisation de l'illicéité, à condition que le consentement soit valable et dans la mesure où la conduite demeure conforme aux limites du consentement donné.	Le consentement peut toujours servir de circonstance empêchant la caractérisation de l'illicéité, quel que soit l'organe de l'État qui le donne.	C	international_law/dev/3
Comment Berger (1963) décrit-il la réalité sociale en utilisant une métaphore?	un manège	un cirque	un théâtre de marionnettes	un ballet	C	sociology/dev/1
Quelle est la déclaration suivante qui représente une affirmation exacte concernant les arthropodes?	Ils possèdent un exosquelette composé principalement de peptidoglycane.	Ils possèdent un système circulatoire ouvert avec un cœur dorsal.	Ce sont des membres d'un phylum biologiquement peu réussi incapable d'exploiter des habitats et des sources de nutrition diverses.	Ils n'ont pas d'appendices articulés et appariés.	B	college_biology/dev/0
Déclaration 1 | Si aH est un élément d'un groupe de facteurs, alors |aH| divise |a|. Déclaration 2 | Si H et K sont des sous-groupes de G alors HK est un sous-groupe de G.	Vrai, vrai	Faux, faux	Vrai, faux	Faux, vrai	B	abstract_algebra/dev/1
Pourquoi n'y a-t-il pas de planète où se trouve la ceinture d'astéroïdes?	Une planète s'est formée ici autrefois mais elle a été brisée par une collision catastrophique.	Il n'y avait pas assez de matière dans cette partie de la nébuleuse solaire pour former une planète.	Il y avait trop de matière rocheuse pour former une planète tellurique mais pas assez de matière gazeuse pour former une planète jovienne.	La résonance avec Jupiter a empêché la matière de se rassembler pour former une planète.	D	astronomy/dev/3
Qu'est-ce que le piratage éthique?	« Pirater » l'éthique pour justifier un comportement égoïste non intentionnel	Pirater des systèmes (par exemple, lors des tests de pénétration) pour exposer les vulnérabilités afin qu'elles puissent être corrigées plutôt qu'exploitées	Pirater des systèmes appartenant à ceux dont l'éthique est en désaccord avec la vôtre	Un terme argotique pour le développement rapide de logiciels, par exemple dans le cadre de hackathons	B	computer_security/dev/2
Chez les cellules animales, lequel des éléments suivants représente le trajet le plus probable qu'une protéine de sécrétion suit lorsqu'elle est synthétisée dans une cellule?	Membrane plasmique–appareil de Golgi–ribosome–vésicule de sécrétion–REG rugueux	Ribosome–appareil de Golgi–REG rugueux–vésicule de sécrétion–membrane plasmique	Membrane plasmique–appareil de Golgi–ribosome–vésicule de sécrétion–REG rugueux	Ribosome–REG rugueux–appareil de Golgi–vésicule de sécrétion–membrane plasmique	D	high_school_biology/dev/2
Un échantillon de HgO de 0,217 g (masse molaire = 217 g) réagit avec un excès d'ions iodure selon la réaction indiquée ci-dessus. Quel volume de HCl 0,10 M est nécessaire pour atteindre le point d'équivalence lors de la titration de la solution obtenue ?	1,0 mL	10 mL	20 mL	50 mL	C	college_chemistry/dev/1
Quelle des déclarations suivantes n'est PAS exacte concernant les services fournis par les gouvernements locaux aux États-Unis ?	La duplication des efforts se produit souvent.	Les problèmes sociaux de la ville centrale débordent dans les banlieues résidentielles environnantes.	L'inefficacité dans la prestation de services se produit souvent.	Les efforts d'un quartier pour réduire la pollution sont toujours soutenus par les communautés voisines.	D	high_school_geography/dev/2
"Une liste de nombres a n éléments, indexés de 1 à n. L'algorithme suivant vise à afficher le nombre d'éléments de la liste qui ont une valeur supérieure à 100. L'algorithme utilise les variables de comptage et de position. Les étapes 3 et 4 sont manquantes.
 Étape 1: Définir le compteur à 0 et la position à 1.
 Étape 2: Si la valeur de l'élément à l'index de position est supérieure à 100, augmenter la valeur du compteur de 1.
 Étape 3: (étape manquante)
 Étape 4: (étape manquante)
 Étape 5: Afficher la valeur du compteur.
 Quelle est la réponse correcte pour remplacer les étapes 3 et 4 afin que l'algorithme fonctionne comme prévu?"	"Étape 3: Augmenter la valeur de la position de 1.
 Étape 4: Répéter les étapes 2 et 3 jusqu'à ce que la valeur du compteur soit supérieure à 100."	"Étape 3: Augmenter la valeur de la position de 1.
 Étape 4: Répéter les étapes 2 et 3 jusqu'à ce que la valeur de la position soit supérieure à n."	"Étape 3: Répéter l'étape 2 jusqu'à ce que la valeur du compteur soit supérieure à 100.
 Étape 4: Augmenter la valeur de la position de 1."	"Étape 3: Répéter l'étape 2 jusqu'à ce que la valeur de la position soit supérieure à n.
 Étape 4: Augmenter la valeur du compteur de 1."	D	high_school_computer_science/dev/4
Quelle est la caractéristique morphologique des paramyxovirus suivante ?	Virus fragile souvent visualisé avec l'ARN éjecté de l'intérieur	Virus allongé	Virus icosaédrique avec enveloppe	Virus très grand	A	virology/dev/1
Carl Jung croyait que le transfert d'un client :	est une fantaisie qui distrait le client de la réalité.	"représente des ""sentiments mixtes"" envers le thérapeute."	"""est une forme de """"passage à l'acte."""""""	reflète l'inconscient personnel et collectif du client.	D	professional_psychology/dev/3
Le ____________ est tout ce que votre moteur de recherche ne peut pas rechercher.	Web hanté	Toile mondiale	Web de surface	Web profond	D	computer_security/dev/4
Quelle est l'expression régulière équivalente  à (décrit le même ensemble de chaînes de caractères que) (a* + b)*(c + d) suivante?	a*(c + d)+ b(c + d)	a*(c + d)* + b(c + d)*	a*(c + d)+ b*(c + d)	(a + b)*c +(a + b)*d	D	college_computer_science/dev/0
Quel élément de la fumée de tabac est responsable des cancers?	Nicotine	Goudron	Monoxyde de carbone	Particules de fumée	B	human_aging/dev/3
Une photodiode d'une fonction de travail ϕ = 2 eV est connectée en série à une résistance. De la lumière d'une fréquence f = 1 × 10^15 Hz frappe une plaque métallique de la photodiode. Si la puissance de la lumière est P = 100 W, quelle est l'intensité du courant à travers la résistance?	2h00	6h00	minuit	24 A	D	high_school_physics/dev/2
Un pôle ponctuel a une intensité magnétique de 4π * 10^-4 weber. La force en newtons sur un pôle ponctuel de 4π * 1.5 * 10^-4 weber placé à une distance de 10 cm de celui-ci sera	15 N.	20 N.	7.5 N.	3.75 N.	A	electrical_engineering/dev/4
Pourquoi les parvovirus sont-ils un parasite très impactant?	Parce qu'ils n'ont pas d'acide nucléique	Ils ont besoin d'un virus auxiliaire	Seule la réplication dans les cellules en division	Peut s'intégrer dans les chromosomes de l'hôte	A	virology/dev/0
La population de la ville où est née Michelle est de 145 826. Quelle est la valeur du 5 dans le nombre 145 826?	5 milliers	5 cents	5 dizaines	5 unités	A	elementary_mathematics/dev/0
Comment l'expression du consentement à être lié d'un État peut-elle être exprimée?	Le consentement d'un État à être lié est exprimé uniquement par la ratification	Le consentement d'un État à être lié par un traité peut être exprimé par la signature, la ratification, l'acceptation, l'approbation ou l'adhésion	Le consentement d'un État à être lié est exprimé par la signature	Le consentement d'un État à être lié est exprimé par tous les moyens qu'ils choisissent	B	international_law/dev/4
Considérez une conception informatique dans laquelle plusieurs processeurs, chacun avec une mémoire cache privée, partagent une mémoire globale en utilisant un bus unique. Ce bus est la ressource système critique. Chaque processeur peut exécuter une instruction toutes les 500 nanosecondes tant que les références mémoire sont satisfaites par sa cache locale. Lorsqu'un défaut de cache se produit, le processeur est retardé de 2000 nanosecondes supplémentaires. Pendant la moitié de ce délai supplémentaire, le bus est dédié à la résolution du défaut de cache. Pendant l'autre moitié, le processeur ne peut pas continuer, mais le bus est libre de traiter les demandes des autres processeurs. En moyenne, chaque instruction nécessite 2 références mémoire. En moyenne, les défauts de cache se produisent sur 1% des références. Quelle proportion de la capacité du bus un seul processeur consommerait-il, en ignorant les retards dus à la concurrence d'autres processeurs?	1/50	1/27	1/25	2/27	B	college_computer_science/dev/4
"Olivia a utilisé la règle ""Ajouter 11"" pour créer le modèle de nombre ci-dessous. 10, 21, 32, 43, 54 Quelle affirmation sur le modèle de nombre est vraie?"	Le 10ème nombre dans le modèle sera un nombre pair.	Le modèle de nombre n'aura jamais deux nombres pairs à côté l'un de l'autre.	Les deux prochains nombres dans le modèle seront un nombre pair puis un nombre impair.	Si le modèle de nombre commençait par un nombre impair, le modèle comporterait uniquement des nombres impairs.	B	elementary_mathematics/dev/1
"Cette question se réfère aux informations suivantes.
""Comme notre conduite tardive à Conestoga Manor et Lancaster a occasionné beaucoup de spéculation et une grande diveristé d'opinions dans ce gouvernement et les gouvernements voisins; certains vindiquent et d'autres condamnent; certains allègent charitablement le crime, et d'autres le peignent malicieusement dans les couleurs les plus odieuses et détestables, nous pensons qu'il est de notre devoir de présenter à la population l'affaire dans son ensemble, telle qu'elle nous est apparue et qu'elle apparaît encore. . . .
""Si ces choses ne sont pas suffisantes pour prouver une attachement injustifiable des Quakers aux Sauvages Indiens, une résolution fixe de les aider, et une insensibilité totale aux souffrances humaines, considérons quelques faits plus récents. Lorsque nous avons constaté l'été dernier que nous ne pourrions probablement pas obtenir d'aide du gouvernement, certains volontaires se sont lancés à leurs frais, déterminés à chasser nos ennemis de nos frontières. Et lorsque nous sommes arrivés près de la grande île, nous avons appris qu'un certain nombre de leurs guerriers étaient sortis contre nos frontières. Sur ce, nous sommes revenus et nous nous sommes battus avec eux sur la colline de Munfey, où nous avons perdu certains de nos hommes, tué certains de leurs guerriers et ainsi sauvé nos frontières d'une histoire dans une autre expédition. Mais à peine avions-nous détruit leurs provisions sur la grande île et ruiné leur commerce avec les bonnes personnes de Bethlehem, que ces mêmes Indiens, qui étaient légitimement soupçonnés d'avoir assassiné nos amis dans le comté de Northampton, ont été pris sous la protection du gouvernement, sous l'influence de certains Quakers, pour les protéger des ressentiments des amis et parents des assassinés, et les soutenir tout l'hiver.""
—""Apology of the Paxton Boys"" (pamphlet), 1764 (Remarque : ""apology"" dans ce contexte devrait être lu comme une explication, et non comme une admission de culpabilité ou un regret.)
Les sentiments exprimés dans l'explication ci-dessus reflètent quelles tensions permanentes pendant la période coloniale de l'histoire américaine ?"	Les tensions entre les politiques britanniques et les aspirations des colonistes nord-américains.	Les tensions entre les Amérindiens alliés des Français et ceux alliés des Britanniques.	Les tensions entre les Afro-Américains libérés et les planteurs blancs.	Les tensions entre les colons de l'arrière-pays et les élites de l'Amérique coloniale.	D	high_school_us_history/dev/1
L'incertitude quant aux limites du pouvoir présidentiel est due principalement au fait que	la définition constitutionnelle de ces pouvoirs est large et peu spécifique	la plupart des gens conviennent que la Constitution impose trop de limites au pouvoir présidentiel	la Cour suprême refuse systématiquement de statuer sur les affaires concernant les pouvoirs présidentiels	les amendements constitutionnels ont considérablement augmenté les pouvoirs présidentiels	A	high_school_government_and_politics/dev/0
Quel est le problème qui n'est pas associé aux statistiques officielles sur les grèves?	la plupart des grèves passent inaperçues auprès des employeurs et des médias de masse	tous les conflits industriels ne seront pas signalés par l'employeur	la définition des grèves exclut celles qui impliquent moins de dix travailleurs ou qui durent moins d'un jour	il est difficile de comparer les grèves qui ont été mesurées de différentes manières	A	sociology/dev/4
Une femme qui sait qu'elle a l'herpès actif et la syphilis non traitée mais qui continue à avoir des rapports sexuels sans informer ses partenaires de son état a, en termes psychanalytiques:	un ego fort	un surmoi faible	un ça faible	un surmoi fort	B	human_sexuality/dev/1
Quelle affirmation concernant les départements de cabinet suivants est FAUSSE?	Ils sont établis par le pouvoir législatif.	Leurs membres n'ont souvent pas beaucoup d'influence sur les décisions présidentielles.	Ils ne peuvent pas tous être dirigés par des dirigeants du même parti politique que le président.	Toutes les agences fédérales ne sont pas des départements de cabinet.	C	high_school_government_and_politics/dev/3
"Sélectionnez la meilleure interprétation en anglais des arguments donnés en logique des prédicats.
Dm
(∀x)(Wx ⊃ ~Dx)
(∀x)Wx ∨ Ag	/ (∃x)Ax"	Marina est une danseuse. Certains faibles ne sont pas des danseurs. Soit tout le monde est un faible, soit la Géorgie joue au volley-ball. Donc, quelque chose joue au volley-ball.	Marina est une danseuse. Aucun faible n'est danseur. Tout est soit un faible soit joue au volleyball. Donc, quelque chose joue au volley-ball.	Marina est une danseuse. Certains faibles ne sont pas des danseurs. Tout est soit un faible soit joue au volleyball. Donc, quelque chose joue au volley-ball.	Marina est une danseuse. Aucun faible n'est danseur. Soit tout le monde est un faible, soit la Géorgie joue au volley-ball. Donc, quelque chose joue au volley-ball.	D	formal_logic/dev/2
La bobine d'un compteur à bobine mobile a 100 tours, mesure 40 mm de long et 30 mm de large. Le couple de commande est de 240 * 10-6 N.m à pleine échelle. Si la densité de flux magnétique est de 1 Wb/m2, la plage du compteur est	1 mA.	2 mA.	3 mA.	4 mA.	B	electrical_engineering/dev/2
"Une certaine machine RISC pipelinée possède 8 registres généraux R0, R1, ..., R7 et prend en charge les opérations suivantes.
ADD Rs1, Rs2, Rd Ajoutez Rs1 à Rs2 et placez la somme dans Rd
MUL Rs1, Rs2, Rd Multipliez Rs1 par Rs2 et placez le produit dans Rd
Une opération prend normalement un cycle; cependant, une opération prend deux cycles si elle produit un résultat requis par l'opération immédiatement suivante dans une séquence d'opérations. Considérons l'expression AB + ABC + BC, où les variables A, B, C sont situées dans les registres R0, R1, R2. Si les contenus de ces trois registres ne doivent pas être modifiés, quel est le nombre minimum de cycles d'horloge requis pour une séquence d'opérations qui calcule la valeur de AB + ABC + BC?"	5	6	7	8	B	college_computer_science/dev/1
Pourquoi Mars est rouge ?	"Parce que la surface est recouverte de minéraux fortement oxydés (""rouillés"")."	Parce que l'atmosphère diffuse plus de lumière aux longueurs d'onde plus courtes, transmettant surtout de la lumière rouge.	Parce que Mars est recouverte de coulées de lave anciennes qui sont rouges.	Parce que l'eau qui coulait à la surface de Mars a altéré les minéraux de la surface il y a plusieurs milliards d'années.	A	astronomy/dev/4
"Le modèle de conception Singleton est utilisé pour garantir qu'une seule instance d'une classe peut être instanciée. Lequel des éléments suivants est (sont) vrai(s) pour ce modèle de conception?
I. La classe Singleton a une méthode de fabrique statique pour fournir son instance.
II. La classe Singleton peut être une sous-classe d'une autre classe.
III. La classe Singleton a un constructeur privé."	I seulement	II seulement	III seulement	I, II et III	D	college_computer_science/dev/2
